CASEID,SEX,AGE,RACE,MARITAL,CHILDS,AGEKDBRN,EARNRS,BORN,CLASS,DWELOWN,INCOME16CAT,INCOME,RINCOM16CAT,RINCOME,EDUC,SPEDUC,PAEDUC,MAEDUC,DEGREE,SPDEG,PADEG,MADEG,WRKSTAT,SPWRKSTA,HRS1,SPHRS1,WRKSLF,PAWRKSLF,MAWRKSLF,WRKGOVT,TVHOURS,PARTYID,PARTYID3,PARTYID2,POLVIEWS,POLVIEWS3,POLVIEWS2,CAPPUN,GUNLAW,EQWLTH,HELPPOOR,HELPNOT,HELPSICK,TAX,ODDS1,ODDS2,HOTCORE,EARTHSUN,ELECTRON,VIRUSES,BIGBANG,CONDRIFT,EVOLVED,JOBLOSE,JOBFIND,SATJOB,RICHWORK,NEWS,HAPPY,HAPMAR,HEALTH,LIFE,UNEMP,UNION,PARSOL,KIDSSOL,CONFINAN,CONBUS,CONEDUC,CONFED,CONLABOR,CONPRESS,CONMEDIC,CONJUDGE,CONLEGIS,COURTS,GRASS,RANK,SATFIN,FINALTER,GRANBORN,HOMPOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62927,1,28,1,1,0,,2,1,3,,23,120000,21,82500,16,15,18,,3,1,4,,1,1,50,60,2,2,,2,,0,1,1,2,1,1,2,1,1,1,2,1,2,0,0,0,0,0,0,0,0,0,,,1,2,,2,1,1,2,2,4,4,3,3,2,2,3,2,2,2,2,3,2,1,5,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62928,2,24,3,5,0,,2,1,2,,16,32500,8,9000,17,,20,17,3,,3,3,1,,50,,2,1,2,2,,4,2,,5,3,3,1,1,3,2,3,2,1,0,0,0,0,0,0,0,0,0,,,2,1,,1,,2,2,1,1,2,,3,2,2,2,3,1,3,2,2,2,1,5,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62929,1,43,1,1,0,,1,1,3,,25,160000,21,82500,15,16,,15,2,3,,1,1,1,40,40,2,,1,2,,3,2,,4,2,,1,1,2,3,,1,1,0,0,0,0,0,0,0,0,0,,,1,1,,2,1,3,1,2,4,3,4,2,2,1,2,2,1,2,1,2,3,1,5,2,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62930,1,32,1,5,1,28,2,1,2,2,20,67500,17,37500,16,,,12,3,,,1,1,,37,,2,,1,2,4,2,2,,2,1,1,2,,2,2,2,2,,2,2,1,1,1,2,0,1,0,4,2,2,,4,2,,,,2,4,3,2,3,2,2,3,2,2,2,2,3,2,1,5,2,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62931,2,76,1,1,3,20,2,1,4,1,26,180000,,,16,18,8,12,3,4,0,1,5,5,,,2,2,2,2,5,2,2,,4,2,,2,1,,,,,2,2,1,8,1,1,2,8,1,2,,,,,1,1,1,2,1,,,,,,,,,,,,,,3,,3,1,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62932,2,21,1,5,0,,3,1,3,,23,120000,7,7500,14,,13,16,1,,1,3,2,,30,,2,2,,2,,3,2,,4,2,,,2,5,4,4,3,2,0,0,0,0,0,0,0,0,0,,,2,2,,3,,1,1,1,4,1,,2,2,3,2,2,3,1,2,2,,1,5,2,3,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62933,2,48,3,1,2,28,3,2,2,2,25,160000,20,67500,14,13,14,3,2,1,2,0,1,1,40,60,2,2,2,1,1,1,1,1,4,2,,1,,4,3,3,3,,0,0,0,0,0,0,0,0,0,4,2,2,,3,2,2,,,2,3,4,4,3,3,2,3,2,2,3,2,3,2,2,4,3,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62934,1,76,1,1,2,25,0,1,2,1,,,,,15,15,12,12,1,1,1,1,5,5,,,2,2,,2,6,5,3,3,5,3,3,1,,4,2,4,4,,0,0,0,0,0,0,0,0,0,,,,,1,2,1,,,1,2,1,5,3,2,1,3,3,2,2,2,3,2,1,5,1,3,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62935,2,55,1,1,0,,2,1,4,1,26,180000,21,82500,16,16,9,10,3,3,0,0,1,1,37,40,2,2,2,2,3,4,2,,5,3,3,1,1,,,,,1,2,1,2,1,1,1,2,8,2,4,2,2,2,5,2,1,1,2,,,,,,,,,,,,,,2,,3,1,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62936,2,70,1,3,1,30,1,1,2,1,16,32500,16,32500,14,,,12,1,,,1,1,,40,,2,,2,2,4,7,,,5,3,3,1,,6,3,5,3,,2,1,1,1,1,2,0,1,1,3,3,2,,5,2,,,,1,4,3,1,3,3,2,2,3,3,2,2,3,2,1,5,3,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62937,2,66,1,3,3,29,0,1,3,1,17,37500,,,18,,16,15,4,,3,1,5,,,,2,2,,1,0,0,1,1,1,1,1,2,1,,,,,2,2,1,1,1,8,1,0,1,0,,,,,1,3,,2,1,,,,,,,,,,,,,,3,,5,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62938,2,37,3,3,1,32,2,2,2,,20,67500,16,32500,19,,3,6,4,,0,0,1,,40,,2,2,2,2,,1,1,1,4,2,,1,1,3,3,2,2,1,0,0,0,0,0,0,0,0,0,,,1,1,,2,,2,1,2,4,1,1,1,2,3,2,2,2,2,3,3,2,2,4,2,1,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62939,2,70,1,1,2,35,2,1,3,1,23,120000,,,16,16,16,16,4,3,3,3,5,5,,,2,2,1,2,2,0,1,1,2,1,1,2,1,,,,,2,2,2,1,1,2,2,1,1,1,,,,,2,2,1,2,1,,,,,,,,,,,,,,1,,3,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62940,1,43,1,1,0,,2,2,3,,24,140000,23,120000,18,18,17,15,4,4,3,2,1,1,57,40,2,2,2,2,,1,1,1,3,1,1,1,1,3,4,2,3,2,0,0,0,0,0,0,0,0,0,,,1,1,,2,2,2,1,2,4,2,,3,2,2,2,2,2,3,2,2,1,2,3,2,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62941,2,19,3,5,1,17,1,1,3,,8,9000,,,9,,,10,0,,,0,6,,,,,,,,,3,2,,,,,2,2,5,3,,1,2,0,0,0,0,0,0,0,0,0,,,,,,2,,1,2,2,4,1,2,2,2,1,2,2,2,1,2,2,,1,,2,1,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62942,1,70,1,1,3,23,1,1,3,1,23,120000,,,15,17,12,10,1,3,1,1,5,2,,20,2,2,1,1,4,0,1,1,4,2,,2,,2,2,3,5,,0,0,0,0,0,0,0,0,0,,,,,1,1,1,,,2,1,1,1,1,2,1,3,2,1,2,1,2,1,2,3,1,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62943,2,40,1,1,0,,2,1,2,,22,100000,21,82500,18,12,16,16,4,1,3,3,1,2,42,24,2,2,2,2,,2,2,,2,1,1,1,2,2,3,2,2,1,0,0,0,0,0,0,0,0,0,,,1,1,,2,2,3,2,2,4,2,,3,2,1,3,2,2,1,1,3,1,1,4,2,3,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62944,1,59,3,1,2,25,3,2,3,1,18,45000,3,3500,20,17,7,7,3,3,0,0,1,1,35,35,1,1,,2,2,1,1,1,3,1,1,2,,3,3,3,3,,2,1,8,1,1,2,0,1,8,4,2,1,,5,3,1,,,1,2,1,2,2,2,2,1,,3,2,2,3,2,2,3,1,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62945,2,70,1,1,3,21,2,1,3,1,23,120000,,,12,16,7,7,1,3,0,0,5,1,,40,2,2,,2,5,6,3,3,4,2,,1,1,,,,,1,2,1,8,1,8,2,0,1,0,,,,,5,3,2,1,3,,,,,,,,,,,,,,2,,5,2,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62946,1,31,1,5,0,,3,1,2,,22,100000,14,23750,13,,16,16,1,,1,3,2,,30,,2,2,2,2,,2,2,,3,1,1,1,1,4,3,3,1,1,0,0,0,0,0,0,0,0,0,,,2,1,,3,,3,2,1,4,5,4,3,3,2,3,2,2,2,2,3,1,1,5,2,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62947,2,51,3,5,0,,1,1,3,1,21,82500,21,82500,18,,18,16,4,,4,3,1,,36,,2,1,2,2,2,5,3,3,5,3,3,2,,4,3,3,5,,0,0,0,0,0,0,0,0,0,4,2,2,,2,2,,,,2,4,3,,2,2,1,2,2,3,2,2,2,2,2,2,1,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62948,2,32,2,1,0,,2,1,2,2,19,55000,12,18750,15,14,12,12,1,1,1,1,2,2,30,25,1,2,2,1,2,2,2,,1,1,1,2,,2,2,3,2,,2,1,1,1,1,2,0,1,0,4,3,1,,5,2,1,,,2,4,3,4,3,3,3,3,3,3,3,3,3,1,1,5,2,3,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62949,2,60,1,1,2,15,2,1,3,1,,,,,12,11,12,12,1,1,1,1,4,1,,56,2,1,1,2,5,,,,4,2,,1,1,,,,,1,8,9,2,1,2,1,0,1,0,,,3,2,5,1,1,3,2,,,,,,,,,,,,,,,,,3,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62950,1,27,1,5,0,,2,1,2,,22,100000,12,18750,12,,12,16,1,,1,3,1,,35,,2,2,2,2,,4,2,,4,2,,1,2,5,5,3,,1,0,0,0,0,0,0,0,0,0,,,2,1,,2,,3,2,1,4,3,3,2,2,2,2,2,3,2,2,2,1,1,6,2,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62951,1,89,1,2,2,23,0,1,2,1,24,140000,,,16,,6,4,3,,0,0,5,,,,2,2,2,2,1,4,2,,6,3,3,1,1,,,,,2,2,1,1,1,2,2,2,1,2,,,,,3,1,,2,1,,,,,,,,,,,,,,2,,3,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62952,2,50,2,3,5,19,1,1,1,,14,23750,,,11,,12,,1,,1,,7,,,,2,2,,2,,0,1,1,5,3,3,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,1,,,3,,4,1,,4,5,4,3,2,1,3,2,2,1,2,3,2,1,,3,2,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62953,2,44,2,5,6,15,2,1,3,2,20,67500,16,32500,16,,12,12,3,,1,1,2,,20,,2,2,2,2,6,0,1,1,5,3,3,1,2,,,,,1,2,2,8,1,1,1,0,1,0,4,2,2,2,3,2,,1,2,,,,,,,,,,,,,,2,,,2,1,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62954,2,85,1,2,4,17,0,1,3,1,16,32500,,,12,,,3,1,,,0,5,,,,2,,2,1,10,2,2,,4,2,,2,,7,3,5,1,,0,0,0,0,0,0,0,0,0,,,,,5,2,,,,2,4,,3,2,2,2,1,3,2,2,1,3,2,2,1,1,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62955,1,33,1,1,3,17,2,2,3,2,19,55000,16,32500,12,12,6,9,0,1,0,,1,1,60,36,2,2,,2,1,2,2,,3,1,1,2,,1,1,2,2,,2,1,1,1,2,1,0,1,0,1,3,1,,5,1,1,,,2,4,2,3,2,2,2,2,,3,2,2,3,2,1,8,2,1,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62956,2,31,1,5,1,20,1,1,3,,,,,,14,,,14,1,,,1,7,,,,2,,1,1,,0,1,1,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,,,,3,,2,2,1,4,2,2,2,2,2,2,2,3,2,,,2,2,3,2,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62957,2,46,1,1,2,20,3,1,3,1,26,180000,25,160000,16,12,,12,3,1,,1,1,1,50,45,2,,,2,1,5,3,3,6,3,3,1,,7,3,3,3,,0,0,0,0,0,0,0,0,0,4,2,1,,5,1,1,,,2,4,1,1,1,1,2,2,3,3,2,1,1,,2,3,1,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62958,1,72,1,1,3,35,1,1,4,,26,180000,26,180000,16,15,15,16,4,4,4,3,1,7,70,,2,1,,2,,0,1,1,1,1,1,2,1,1,2,2,2,3,0,0,0,0,0,0,0,0,0,,,1,1,,1,1,1,1,2,4,2,4,2,2,1,3,2,1,1,1,2,3,8,1,1,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62959,2,50,1,3,2,32,1,1,4,,26,180000,21,82500,20,,16,18,4,,3,4,2,,15,,2,2,1,2,,0,1,1,2,1,1,2,1,3,2,2,2,2,0,0,0,0,0,0,0,0,0,,,2,1,,2,,1,1,2,4,3,2,2,2,2,3,2,1,1,2,2,1,1,2,2,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62960,1,66,1,1,2,30,2,1,3,,26,180000,,,20,16,20,14,4,3,4,1,5,1,,45,2,2,,2,,6,3,3,6,3,3,1,1,4,4,3,4,1,0,0,0,0,0,0,0,0,0,,,,,,1,1,1,1,2,4,1,1,2,2,1,1,3,3,2,1,2,,2,2,1,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62961,2,35,1,5,0,,1,1,3,,18,45000,18,45000,17,,17,16,3,,4,3,1,,38,,2,2,2,2,,6,3,3,7,3,3,1,1,7,4,4,5,2,0,0,0,0,0,0,0,0,0,,,1,1,,2,,1,2,2,4,3,2,1,1,2,1,1,2,1,1,1,2,1,5,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62962,2,35,2,5,2,18,2,1,2,2,11,16250,,,11,,,12,0,,,1,1,,44,,2,2,2,2,4,0,1,1,4,2,,,1,,,,,2,2,1,1,2,1,1,8,2,8,4,3,1,1,5,2,,3,2,,,,,,,,,,,,,,1,,5,1,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62963,2,33,2,5,1,19,2,1,4,,18,45000,,,13,,,12,1,,,1,1,,35,,2,,2,2,,4,2,,4,2,,2,1,5,3,3,3,1,0,0,0,0,0,0,0,0,0,,,1,1,,1,,1,1,1,4,1,1,1,1,1,1,1,3,3,2,1,2,1,1,1,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62964,2,66,1,4,5,18,0,1,1,,3,3500,,,6,,,,0,,,0,5,,,,2,,2,2,,3,2,,2,1,1,1,2,1,1,1,5,1,0,0,0,0,0,0,0,0,0,,,,,,2,,3,3,1,4,3,1,2,3,1,2,3,3,2,1,2,1,2,5,3,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62965,1,53,1,1,5,18,3,1,4,2,16,32500,16,32500,10,10,,8,0,0,,0,1,1,10,10,1,,,2,0,3,2,,5,3,3,2,,3,3,3,4,,2,1,1,1,2,1,0,1,0,4,1,1,,5,1,1,,,1,4,1,1,3,3,2,3,2,3,3,3,3,2,1,3,1,2,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62966,2,37,2,1,4,20,1,2,3,1,21,82500,,,16,12,,,3,4,1,1,7,1,,40,2,2,2,2,3,,,,,,,2,1,,,,,1,2,2,8,8,8,1,8,8,1,,,2,,5,3,1,1,1,,,,,,,,,,,,,,2,,7,2,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62967,1,33,1,1,0,,2,2,3,1,21,82500,21,82500,12,16,12,16,1,3,1,3,1,4,44,,2,1,1,2,2,2,2,,4,2,,2,,3,2,3,1,,2,2,1,1,1,8,0,1,1,4,3,2,,5,2,1,,,1,4,3,2,3,2,3,3,3,3,2,2,3,3,1,5,1,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62968,1,28,2,1,2,20,2,1,3,1,22,100000,,,16,16,16,16,3,3,3,3,1,1,40,40,2,2,2,2,3,2,2,,3,1,1,2,1,,,,,1,2,2,1,2,8,1,0,2,0,4,2,1,1,5,1,1,1,1,,,,,,,,,,,,,,1,,7,1,1,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62969,2,30,1,1,1,29,2,1,3,,22,100000,,,16,16,14,12,3,3,2,1,3,3,,,2,2,2,2,,5,3,3,5,3,3,2,1,7,3,5,5,1,0,0,0,0,0,0,0,0,0,,,2,2,,1,1,2,2,1,4,1,3,3,2,3,3,2,3,1,2,3,1,1,6,2,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62970,1,37,1,1,1,33,2,1,2,,22,100000,,,11,14,11,12,1,2,1,1,1,1,40,60,2,2,2,1,,4,2,,6,3,3,1,2,5,4,4,4,2,0,0,0,0,0,0,0,0,0,,,2,1,,1,1,2,2,2,4,4,5,2,1,1,2,3,3,3,3,3,2,1,5,1,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62971,1,38,3,1,0,,2,1,3,1,25,160000,21,82500,16,16,12,12,1,3,1,1,1,3,40,,2,2,2,2,4,1,1,1,2,1,1,1,,1,2,3,2,,2,1,1,1,2,1,0,1,0,4,3,1,,5,2,2,,,2,4,1,,3,2,3,3,,2,2,3,3,2,1,5,1,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62972,1,84,1,1,2,20,0,1,3,,18,45000,,,14,12,11,12,1,1,0,1,5,5,,,2,2,2,1,,6,3,3,3,1,1,2,1,5,3,5,5,,0,0,0,0,0,0,0,0,0,,,,,,2,1,4,2,2,4,4,2,1,1,,2,2,3,1,3,3,2,2,6,2,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62973,1,66,1,1,2,40,3,1,3,1,24,140000,20,67500,17,16,17,17,4,3,4,4,1,1,50,40,2,2,2,2,2,3,2,,5,3,3,2,,3,3,4,2,,0,0,0,0,0,0,0,0,0,3,3,1,,5,1,1,,,2,4,1,3,2,2,2,2,2,3,2,1,2,1,2,4,2,3,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62974,2,29,3,1,0,,2,2,2,1,22,100000,19,55000,16,16,16,16,3,3,3,4,1,1,40,40,2,2,2,2,3,1,1,1,4,2,,2,1,,,,,2,1,1,8,1,8,1,8,2,1,2,1,1,1,5,1,2,3,2,,,,,,,,,,,,,,2,,5,1,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62975,1,39,1,1,1,38,2,2,3,,26,180000,23,120000,17,10,17,17,4,3,4,4,1,1,45,24,2,2,2,2,,2,2,,2,1,1,2,2,2,3,3,3,1,0,0,0,0,0,0,0,0,0,,,2,1,,2,2,2,1,2,4,2,2,2,2,2,2,2,2,1,2,2,,1,6,2,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62976,2,33,2,1,2,30,2,2,3,1,25,160000,22,100000,16,16,16,14,3,4,4,3,1,1,45,45,2,2,2,2,1,2,2,,4,2,,2,,1,3,3,3,,2,1,1,2,8,1,0,1,2,3,2,3,,5,2,2,,,1,4,1,1,2,2,2,3,1,2,2,2,2,1,2,3,2,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62977,2,68,3,2,0,,1,2,3,,20,67500,18,45000,18,,12,12,4,,1,1,2,,2,,1,2,,2,,2,2,,4,2,,1,1,6,5,3,1,1,0,0,0,0,0,0,0,0,0,,,1,2,,3,,3,2,2,4,1,,3,,2,3,3,2,1,2,3,,2,4,3,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62978,2,70,1,1,2,35,2,1,4,1,,,,,16,16,16,16,3,3,4,4,2,2,30,20,1,2,2,,1,3,2,,5,3,3,1,2,,,,,1,2,1,1,2,2,2,2,1,2,4,3,1,1,5,1,1,2,1,,,,,,,,,,,,,,2,,2,1,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62979,1,50,1,1,2,27,1,2,3,2,15,27500,,,16,16,12,4,3,3,1,0,4,7,,,2,1,,2,0,3,2,,4,2,,2,1,,,,,2,2,2,1,1,1,2,0,1,0,,,1,1,4,2,1,2,1,,,,,,,,,,,,,,1,,7,3,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62980,1,54,1,1,2,28,1,1,3,1,25,160000,25,160000,17,18,17,14,3,4,2,1,1,7,40,,2,2,2,2,3,3,2,,4,2,,1,2,,,,,3,2,1,1,1,1,2,1,1,1,4,2,2,2,3,2,1,2,2,,,,,,,,,,,,,,1,,3,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62981,1,45,1,1,2,42,1,1,3,1,26,180000,,,16,17,,12,3,4,,1,7,1,,40,1,,2,2,3,5,3,3,5,3,3,1,2,,,,,1,2,1,1,1,1,2,0,1,0,,,2,,5,2,2,2,1,,,,,,,,,,,,,,3,,3,1,1,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62982,2,48,1,1,1,30,2,1,4,,26,180000,,,14,16,20,14,1,2,4,2,1,1,65,40,1,1,,2,,5,3,3,4,2,,1,1,4,3,2,3,1,0,0,0,0,0,0,0,0,0,,,2,1,,2,2,1,1,2,4,3,4,2,1,1,1,1,3,2,1,1,2,8,3,1,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62983,1,73,1,1,2,27,0,1,3,,23,120000,,,16,18,12,12,3,4,1,1,5,5,,,1,2,2,,,5,3,3,4,2,,1,1,2,3,3,3,2,0,0,0,0,0,0,0,0,0,,,,,,1,1,2,1,2,4,1,3,2,1,1,2,3,2,1,1,2,3,2,4,1,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62984,2,77,1,1,1,28,1,1,3,1,16,32500,,,18,16,11,,3,3,,1,5,5,,,2,1,,1,2,1,1,1,2,1,1,,1,,,,,2,2,8,1,1,1,2,0,1,0,,,,,1,1,1,2,2,,,,,,,,,,,,,,,,4,2,3,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62985,2,59,1,2,1,24,1,1,4,,23,120000,23,120000,16,,8,11,3,,0,0,1,,50,,2,2,2,2,,1,1,1,4,2,,1,1,4,3,3,2,2,0,0,0,0,0,0,0,0,0,,,1,2,,2,,2,1,2,4,1,3,1,2,1,2,3,2,1,1,2,3,1,,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62986,1,72,1,1,2,30,0,1,3,1,19,55000,15,27500,12,12,12,12,1,1,1,1,5,5,,,2,2,2,1,6,6,3,3,3,1,1,1,,3,3,4,3,,0,0,0,0,0,0,0,0,0,,,,,1,2,2,,,2,3,1,1,2,2,1,3,1,3,2,2,2,2,1,6,1,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62987,1,68,1,1,6,34,1,1,2,,21,82500,,,18,12,6,12,3,1,0,1,5,2,,6,2,2,,2,,5,3,3,6,3,3,1,2,7,4,5,5,1,0,0,0,0,0,0,0,0,0,,,,,,2,1,3,1,2,4,5,4,2,2,1,1,3,3,2,2,3,2,2,3,1,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62988,2,60,1,1,1,19,2,2,2,1,20,67500,11,16250,12,16,16,14,1,3,1,2,1,1,44,50,2,2,2,2,2,6,3,3,5,3,3,,,1,5,5,5,,2,1,1,2,8,1,0,1,2,4,3,1,,3,1,1,,,1,4,2,1,2,2,2,2,3,3,2,2,3,2,2,8,1,3,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62989,1,63,1,1,3,20,3,1,3,1,23,120000,19,55000,12,12,12,12,1,1,1,1,1,1,60,40,1,2,2,,1,7,,,7,3,3,1,,6,3,4,5,,0,0,0,0,0,0,0,0,0,4,1,1,,3,1,1,,,2,4,2,2,2,2,2,3,3,3,2,2,3,2,2,4,1,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62990,1,45,1,5,0,,1,1,1,1,11,16250,10,13750,14,,12,,1,,1,,2,,25,,2,2,,2,4,,,,4,2,,2,2,,,,,2,2,1,1,1,8,8,8,8,2,4,,3,1,5,2,,3,2,,,,,,,,,,,,,,,,,3,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62991,2,35,1,1,4,23,2,1,3,,26,180000,26,180000,13,16,18,14,1,3,4,1,2,1,30,40,1,2,,2,,5,3,3,5,3,3,1,2,6,4,5,4,1,0,0,0,0,0,0,0,0,0,,,1,1,,2,1,2,1,1,2,1,3,2,3,2,3,3,3,3,2,3,2,1,4,1,1,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62992,2,22,1,5,2,17,4,1,1,2,13,21250,1,500,12,,12,16,1,,,2,4,,,,1,2,2,,4,3,2,,,,,1,,4,3,1,3,,2,1,1,1,2,2,0,2,0,,,2,,5,2,,,,1,4,3,2,1,1,2,1,2,3,1,1,2,2,1,8,3,3,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62993,2,36,1,1,3,20,3,1,2,1,,,,,12,15,,12,1,1,,1,1,1,35,40,2,,2,2,1,3,2,,4,2,,,,,,,,2,2,1,1,1,1,2,0,1,0,4,1,1,1,5,1,1,2,2,,,,,,,,,,,,,,3,,4,2,3,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
